Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commision (in value),Age
3,1,0,12,0,186,79,-29.0,9.57,81
3,1,0,12,0,186,79,-29.0,9.57,71
6,1,1,16,0,65,4,-49.5,29.7,32
6,1,1,16,0,60,4,-39.6,23.76,32
6,1,1,16,0,79,61,-19.8,11.88,41
9,0,1,25,0,66,140,-121.0,42.35,44
6,1,1,16,0,47,140,-39.6,23.76,32
6,1,1,16,0,63,4,-108.9,65.34,29
6,1,1,16,0,57,129,-19.8,11.88,44
6,1,1,16,0,186,4,-99.0,59.4,37
9,0,1,8,0,33,67,-26.0,9.1,118
9,0,1,8,0,1,79,-18.0,6.3,47
10,1,1,15,0,53,96,-130.0,49.4,48
6,1,1,16,0,5,79,-39.6,23.76,64
7,1,1,1,0,39,145,-25.0,0.0,36
6,1,1,16,0,6,32,-19.8,11.88,53
6,1,1,16,0,48,32,-79.2,47.52,43
6,1,1,16,0,11,140,-29.7,17.82,58
9,0,1,8,0,3,79,-18.0,6.3,47
6,1,1,16,0,14,129,-69.3,41.58,37
6,1,1,16,0,136,96,-108.9,65.34,32
2,0,1,9,0,12,118,46.15,11.54,44
2,0,1,9,0,7,118,17.55,4.39,25
2,0,1,9,1,12,118,94.0,23.5,34
2,0,1,17,0,190,118,294.75,73.69,26
2,0,1,4,0,364,118,389.0,97.25,30
6,1,1,16,0,29,140,9.9,5.94,33
6,1,1,16,0,28,140,9.9,5.94,33
6,1,1,16,0,153,63,69.3,41.58,35
6,1,1,16,0,28,139,19.8,11.88,31
6,1,1,16,0,4,139,29.7,17.82,61
6,1,1,16,0,54,4,0.0,41.58,31
6,1,1,16,0,24,4,89.1,53.46,33
7,1,1,1,0,9,57,25.0,0.0,36
7,1,1,1,0,12,79,24.0,0.0,36
7,1,1,1,0,45,79,20.0,0.0,36
7,1,1,1,0,35,56,27.0,0.0,36
7,1,1,1,0,28,129,20.0,0.0,44
7,1,1,1,0,24,26,43.0,0.0,36
7,1,1,1,0,8,41,78.0,0.0,36
7,1,1,1,0,183,57,20.0,0.0,36
7,1,1,1,0,36,126,22.0,0.0,20
7,1,1,1,0,3,145,27.0,0.0,46
7,1,1,1,0,38,118,41.0,0.0,36
7,1,1,1,0,36,140,95.0,0.0,49
7,1,1,1,0,4,129,20.0,0.0,50
7,1,1,1,0,3,79,20.0,0.0,36
7,1,1,1,0,13,129,35.0,0.0,36
7,1,1,1,0,11,102,43.0,0.0,36
7,1,1,1,0,27,57,20.0,0.0,62
7,1,1,1,0,16,88,47.0,0.0,36
7,1,1,1,0,12,26,29.0,0.0,36
7,1,1,1,0,39,57,20.0,0.0,46
7,1,1,1,0,19,79,20.0,0.0,46
